,Year,Reference,Abstract,cluster_4,cluster_5
14,2002,"Hill, A. V., Collier, D. A., Froehle, C. M., Goodale, J. C., Metters, R. D., & Verma, R. (2002). Research opportunities in service process design. Journal of Operations Management, 20(2), 189-202. doi:10.1016/S0272-6963(01)00092-4 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=7272526&site=ehost-live","This paper presents an overview of the new issues and research opportunities related to four service operations design topics--the design of retail and e-tail service processes, design of service processes involving waiting lines and workforce staffing, service design for manufacturing, and re-engineering service processes. All four topics are motivated by new technologies (particularly web-based technologies) and require a multi-disciplinary approach to research. For each topic, the paper presents an overview of the topic, the relevant frameworks, and a discussion of the research opportunities. ",1,1
15,2003,"Xue, M., Harker, P. T., & Heim, G. R. (2003). Incorporating the dual customer roles in e-service design","E-service involves the delivery of useful services through information technology based service delivery channels such as the Internet. A distinguishing feature of e-service is the active and significant participation of customers in the service co-production process. With increasing customer participation in the e-service co-production process, it is important to incorporate customers' needs both as a co-producer and as a patron into the design of e-service systems. However, these dual customer roles create a complex decision problem during e-service design. In the current paper we present a customer orientation strategy for e-service design, and propose a corresponding two-stage decision model based upon the customer orientation strategy to evaluate the efficiency and effectiveness of e-service design when the focus of the design is to meet customers' needs as both co-producers and patrons. The decision model is then applied in an empirical study of the design of e-services of Internet food retailers. ",3,3
16,2003,"Ghamlouche, I., Crainic, T. G., & Gendreau, M. (2003). Cycle-based neighbourhoods for fixed-charge capacitated multicommodity network design. Operations research, 51(4), 655-667.",We propose new cycle-based neighbourhood structures for metaheuristics aimed at the fixed-charge capacitated multicommodity network design formulation. The neighbourhood defines moves that explicitly take into account the impact on the total design cost of potential modifications to the flow distribution of several commodities simultaneously. Moves are identified through a shortest-pathlike network optimization procedure and proceed by redirecting flow around cycles and closing and opening design arcs accordingly. These neighbourhoods are evaluated and tested within a simple tabu search algorithm. Experimental results show that the proposed approach is quite powerful and outperforms existing methods reported in the literature.,4,5
17,2004,"Alonso-Rasgado, T., Thompson, G., & Elfström, B. (2004). The design of functional (total care) products. Journal of Engineering Design, 15(6), 515-540. doi:10.1080/09544820412331271176 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=15328555&site=ehost-live","Total Care Products (Functional Products) are integrated systems comprising hardware and support services. The Functional Product supplier provides all the support systems that are required to keep the hardware operable. The support systems are often referred to as 'services'. The success of Total Care Products depends upon both hardware and services. Well established methods exist for the design of hardware. In comparison, design processes and methods for services are not so well developed. This paper is concerned with the definition and design of functional Products, in particular design of services in the context of Total Care Products. Literature from the service sector is reviewed extensively to identify the principal components of service design. The information required for the execution of each component of the process, and outputs of each component, are considered with respect to the design of Total Care Products. Of particular interest is the customer-supplier relationship throughout the design process. The design of a Total Care Product may involve the creation of a new service system or there may be an existing system that may be adapted or developed. Similarly, hardware may be mature or be a completely new product. There are therefore number of permutations of novelty and maturity in the hardware and service components of a new Total Care Product. The design processes and methods employed must take into account the required degree of novelty in each component. Typically a customer will be given a guarantee of a certain level of availability of the Total Care Product. This brings into sharp focus the reliability and maintainability of the total system. Further research directions in Total Care Product design are identified especially related to functional reliability.   ",1,1
18,2004,"Hyde, P., & Davies, H. T. O. (2004). Service design, culture and performance: Collusion and co-production in health care. Human Relations, 57(11), 1407-1426. doi:10.1177/0018726704049415 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=15542601&site=ehost-live","While there is emerging evidence to suggest that (organizational) culture can affect the performance and quality of health services, little attention has been directed at how these relationships might be mediated, facilitated or attenuated by aspects of service design (i.e. those arrangements that combine facilities, staff and service users in the co-production of care). Using two case studies set in mental health services, this article explores how both culture and performance may be viewed as emergent properties of service design configurations. Thus central to ideas of service re-design should be notions of service users as the co-producers (with staff) of both organizational culture and organizational performance, as well as a clearer understanding of how such co-production processes are modulated by specific design configurations. ",2,2
19,2004,"Menno Verboom, Jos, v. I., & Ton van, d. W. (2004). A transparent role of information systems within business processes: A case study. Managing Service Quality, 14(6), 496-505. doi:10.1108/09604520410569838 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=25518828&site=ehost-live","Service organisations still struggle with the adoption of a road to excellence. Evidence exists that processes and systems in service organisations are not always as advanced as in manufacturing organisations. Adding a quality smile to the face of the service provider will not solve the problems that are caused by defects in the underlying work processes and systems. Attention to the hardware in service organisations, i.e. to the service design, should instead create a more reliable process flow and time for service staff to develop improvement activities and spend more time with customers. The way service organisations began to take excellence seriously was by making their processes transparent, eliminating undesired steps and deleting loops. In this paper the focus is on expanding this approach by adding information systems and information sources into a process map. This seems to be a promising approach for small and medium-sized service organisations, without having to invest in expensive and rigid business process automation. ",4,5
20,2004,"Stuart, F. I., & Tax, S. (2004). Toward an integrative approach to designing service experiences: lessons learned from the theatre. Journal of Operations Management, 22(6), 609-627.","A critical element in designing a new service and ultimately achieving customer delight and loyalty, particularly for competitive services where the customer–service provider interface is high, deals with the delivery of memorable personal experience. Since many such services rely on attributes of theatre?like performance, this research examines the process by which theatre plays are chosen, designed and developed with the objective of better understanding how performance excellence is realized. Theatre plays were chosen as a basis for study because of their long history of mastering the critical elements of performance staging and the reputation for opening on time at near peak performance levels. Using a case?based, qualitative research approach, the theatre play process is described, implications are extracted and a corresponding management process model is presented. Research and management implications for new service design and service delivery excellence are suggested.",3,3
21,2004,"Pagell, M., & Melnyk, S. A. (2004). Assessing the impact of alternative manufacturing layouts in a service setting. Journal of Operations Management, 22(4), 413-429.","This paper summarizes the results of a project designed to study and ultimately improve the overall operation of a service process, as found in one regional blood center. Driving this project was recognition that the current process, initially designed to accommodate a single customer group, was ill equipped to handle a changing customer mix now consisting of three disparate groups. The resulting mismatch between the process and users created long delays and an increase in the overall level of dissatisfaction with the existing process. To improve overall performance, this study turned to process analysis and computer simulation to stimulate a critical analysis of the process. As part of this approach, the study investigated three layouts: the existing worker paced assembly line, a modified assembly line, and service cells. The study examined the relationship between layout, customer mix and system performance. Key among the results was that a service cell approach led to higher performance and better customer satisfaction.",4,5
22,2005,"Xue, M., Hein, G. R., & Harker, P. T. (2005). Consumer and co-producer roles in e-service: Analysing efficiency and effectiveness of e-service designs. International Journal of Electronic Business, 3(2), 1-1. doi:10.1504/IJEB.2005.006909 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=16826046&site=ehost-live","The article presents an empirical study of the electronic-service operations of a sample of Internet food retailers. Many electronic services are distinguished by the active and significant participation of customers in real-time service design and delivery. Because electronic-service often involves higher levels of service co-production than in traditional person-to-person services, it has become important to incorporate customers' needs both as a service consumer and as a service co-producer into the design of electronic-service systems. ",3,3
23,2006,"Berry, L. L., Shankar, V., Parish, J. T., Cadwallader, S., & Dotzel, T. (2006). Creating new markets through service innovation. MIT Sloan Management Review, 47(2), 56-63. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=19710954&site=ehost-live","The article presents guidelines on how companies should approach market-creating service innovation. Most improvements to service activities are incremental. These improvements, though useful and necessary, are limited in the kind of returns they can produce. Companies are advised to look for innovative ways to put customers in control of how they access a desired service. Included in the factors that lead to market-creating service innovations are a scalable business model, comprehensive customer-experience management, investment in employee performance, and brand differentiation. ",3,3
24,2006,"Bhappu, A. D., & Schultze, U. (2006). The role of relational and operational performance in business-to-business customers' adoption of self-service technology. Journal of Service Research, 8(4), 372-385. doi:10.1177/1094670506286571 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=20712027&site=ehost-live","The authors explore whether and why business-to-business customers using service relationship designs—service delivery systems that promote repeated personal interactions between a customer and a specific service provider—will adopt self-service technology (SST). Their results show that these customers associate operational performance gains and relational performance losses with a prospective SST Whereas perceived operational performance gains increase customers' intention to adopt SST perceived relational performance losses decrease it. However these main effects are moderated by customers' purchase frequency and their enacted service design, which refers to the way that customers actually experience firms' intended service designs. Specifically, the positive effect of perceived operational performance gains on customers' intention to adopt SST was weaker for customers with higher purchase frequency. Similarly, the negative effect of perceived relational performance losses on customers' intention to adopt SST was strongest for customers who had enacted strong service relationships. ",3,3
25,2006,"Hume, M., Sullivan Mort, G., Liesch, P. W., & Winzar, H. (2006). Understanding service experience in non-profit performing arts: Implications for operations and service management. Journal of Operations Management, 24(4), 304-324. doi:10.1016/j.jom.2005.06.002 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=20822946&site=ehost-live","Recent research in the non-profit performing arts has shown that marketing efforts designed to increase revenue from ticket sales are not achieving the results required to sustain the performing arts. This paper applies operations management analytical techniques to the non-profit performing arts to increase understanding of operational issues and inform service management strategy. The paper takes a two-study idiographic approach. Implementing a modified version of service transaction analysis (STA), Study One describes a performing arts service from provider and customer perspectives, identifies service gaps and develops an elaborated service description incorporating both perspectives. In Study Two, building on the elaborated service description and extant research, in-depth interviews are conducted to gather thick descriptions of predictors of satisfaction, value and service quality as they relate to repurchase intention (RI). Technical, functional and critical factors required to improve organizational performance are identified. Implications for operational strategy, service design and service management theory for this context are discussed. ",3,3
26,2006,"Karwan, K. R., & Markland, R. E. (2006). Integrating service design principles and information technology to improve delivery and productivity in public sector operations: The case of the south carolina DMV. Journal of Operations Management, 24(4), 347-362. doi:10.1016/j.jom.2005.06.003 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=20822948&site=ehost-live","One relatively unanswered question regarding operational efficiency and effectiveness is whether and how public sector or government operations can employ service strategy and design concepts to deal with the conflicting objectives of minimizing expenditures while providing for an increasing number of “causes” Haywood-Farmer, J., Nollet, J., 1991. Service Plus: Effective Service Management, G. Morin Publisher, Quebec]. In this paper, we argue that the mechanism that permits or enables simultaneous success on these dimensions in public sector operations is information technology applied in conjunction with a unified set of service operations concepts. To demonstrate this contention, we employ an adaptation of the Goldstein et al. Goldstein, S.M., Johnston, R., Duffy, J., Rao, J., 2002. The service concept: the missing link in service design research? Journal of Operations Management 20 (2), 121–134] service planning design framework, taking issue with some interpretative aspects of their strategic model. The modified planning framework was applied to an initiative in South Carolina state government to improve operations and technology deployment at the Department of Motor Vehicles (DMV). The detailed and ongoing case study illustrates the utility of a broad service-based, IT-enabled approach to designing a government service, while simultaneously demonstrating that operational service alignment is the key to avoiding results that have long been labeled a dilemma in the public sector. ",2,2
27,2006,"Quadrifoglio, L., Hall, R. W., & Dessouky, M. M. (2006). Performance and design of mobility allowance shuttle transit services: bounds on the maximum longitudinal velocity. Transportation science, 40(3), 351-363.","We develop bounds on the maximum longitudinal velocity to evaluate the performance and help the design of mobility allowance shuttle transit (MAST) services. MAST is a new concept in transportation that merges the flexibility of demand responsive transit (DRT) systems with the low-cost operability of fixed-route bus systems. A MAST system allows buses to deviate from the fixed path so that customers within the service area may be picked up or dropped off at their desired locations. However, the main purpose of these services should still be to transport customers along a primary direction. The velocity along this direction should remain above a minimum threshold value to maintain the service attractive to customers. We use continuous approximations to compute lower and upper bounds. The resulting narrow gap between them under realistic operating conditions allows us to evaluate the service in terms of velocity and capacity versus demand. The results show that a two-vehicle system, with selected widths of the service area of 0.5 miles and 1 mile, is able to serve, respectively, a demand of at least 10 and 7 customers per longitudinal mile of the service area while maintaining a reasonable forward progression velocity of about 10 miles/hour. The relationships obtained can be helpful in the design of MAST systems to set the main parameters of the service, such as slack time and headway.",4,5
28,2006,"Rust, R. T., & Chung, T. S. (2006). Marketing models of service and relationships. Marketing science, 25(6), 560-580.","Given the growth of the service sector, and advances in information technology and communications that facilitate the management of relationships with customers, models of service and relationships are a fast-growing area of marketing science. This article summarizes existing work in this area and identifies promising topics for future research. Models of service and relationships can help managers manage service more efficiently, customize service more effectively, manage customer satisfaction and relationships, and model the financial impact of those customer relationships. Models for managing service have often emphasized analytical approaches to pricing, but emerging issues such as the trade-off between privacy and customization are attracting increasing attention. The trade-offs between productivity and customization have also been addressed by both analytical and empirical models, but future research in the area of service customization will likely place increased emphasis on e-service and truly personalized interactions. Relationship models will focus less on models of customer expectations and length of relationship, and more on modeling the effects of dynamic marketing interventions with individual customers. The nature of service relationships increasingly leads to financial impact being assessed within customer and across product, rather than the traditional reverse, suggesting the increasing importance of analyzing customer lifetime value (CLV) and managing the firm’s customer equity.",2,2
29,2007,"Chuang, P. (2007). Combining service blueprint and FMEA for service design. Service Industries Journal, 27(2), 91-104. doi:10.1080/02642060601122587 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=24325583&site=ehost-live","This paper aims at combining the service blueprint and Failure Modes and Effects Analysis (FMEA) to assist service designers in designing a failure-free service system. In the proposed approach, a blueprint of a service system should be, first, developed to identify the potential fail points and failure modes for both front office and back office service activities. Based on the blueprint, the FMEA tool is then applied to prioritise the critical potential failure modes of the service system and take the required actions to ensure service design performance. An example of a hypermarket service system was used to demonstrate the proposed approach. The example not only identifies the most likely failure modes but also provides the effects and possible causes for each of the most critical failure modes. This implies that the actions to prevent these failures from occurring should be the main focus in the service design stage of the example company. Some managerial implications are also provided. ",2,2
30,2007,"Hyötylänen, M., & Möller, K. (2007). Service packaging: Key to successful provisioning of ICT business solutions. Journal of Services Marketing, 21(5), 304-312. doi:10.1108/08876040710773615 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=26675407&site=ehost-live","— Business services have an important role in the development of global knowledge-base economy. This is particularly clear in the field of ICT services where business customers are requiring an increasing amount of complex services in order to support their utilization of advanced ERP, SCM and CRM solutions for boosting their business processes and competitive advantage. The complexity of these services and customers’ requests for special adaptations form a critical challenge for service providers. This paper seeks to develop solutions for managing this complexity.  — Three service design and development methods — service industrialization, tangibilization, and service blueprinting — are introduced and then analyzed as to how they can be utilized as an integrated system to reduce the complexity of CT services. This is carried out through an action research-based case study of an CT service provider.  — The results include a service architecture framework, which can be used for creating a modularized offering and implementation system for complex business services. It reduces the complexity of services while allowing their customer specific adaptation.  — Key aspects are the identification of service modules and interfaces in a multi-actor service offering setting and the providing of adequate resources for the design phase of the customized service project. This is essential in order to be able to simultaneously respond to customer specific needs and to reduce the number of existing technologies and overlapping functionalities, seemingly contra dictionary aims. —  of the paper offer significant theoretical and managerial implications for the design and production of complex business services. ",2,2
31,2007,"Mohamed, A. (2007). Switch to web 2.0 boosts business agility for internet services firm. Computer Weekly, , 12-12. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=25040565&site=ehost-live","The article reports that uSwitch.com has completed a £ million overhaul of its website infrastructure and deployed several of the latest web technologies during the 10 month project. In February 2007, uSwitch also adopted customer experience management software which it is using to improve the conversion of site visits into sales. The company provides a free and independent online and phone-based service which compares hundreds of up-to-date prices for services including gas, electricity, telephone, broadband, credit cards, and bank accounts. It has also developed a set of proprietary price comparison calculators based on emerging web technologies such as Ajax interactive web tools and many others. ",2,2
32,2007,"Smith, A. M., Fischbacher, M., & Wilson, F. A. (2007). New service development: From panoramas to precision. European Management Journal, 25(5), 370-383. doi:10.1016/j.emj.2007.06.007 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=26842182&site=ehost-live","New service development (NSD) is essential if organisations are to survive and grow. Yet the process can be complex, time consuming, costly and often unsuccessful. Services involve customers as co-producers i.e. they are present in the service system/production process. Consequently effective NSD focuses on designing service prerequisites that meet consumer needs and requirements. Additionally, other stakeholder groups may have their own expectations of the service. A number of models/approaches have been developed, However, which can assist managers and others in developing new and improved services. This paper argues that a panoramic, or holistic, approach to NSD and a high level of precision at the micro level, will combine to provide a more successful service design and NSD process. Five models from the new product/service development literature are used to illustrate how the approach can be applied to a complex multi-faceted service such as a hospital. ",2,2
33,2007,"Translucent green: Environmentally-friendly manufacturing processes are key concern of retailers and brands. (2007). Textile World, 157(6), 49-49. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=27662701&site=ehost-live","The article discusses the implications of environmental friendliness on the cotton industry in the U.S. Cotton Inc. is keeping on the cutting edge of innovations to be able to help the entire supply chain operate cleaner and greener. The inauguration of Cotton Sustainability Summit in the early October 2007 focuses on the operational transparency as a key theme. The brands such as Wal-Mart, Nike and Marks and Spencer pointed out how important the environmental responsibility of vendors is to the total environmental friendliness of the final products on retail shelves. On the other hand, INNOVA International Inc. developed a concept in continuous bleaching that reduces the time, energy consumption and chemical impact of conventional bleaching with yielding comparable results. ",4,5
34,2007,"Xue, M., Hitt, L. M., & Harker, P. T. (2007). Customer efficiency, channel usage, and firm performance in retail banking. Manufacturing & Service Operations Management, 9(4), 535-558. doi:10.1287/msom.1060.0135 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=27774268&site=ehost-live","Innovations in technology and service design have increasingly enabled firms to incorporate self-service technology to augment or substitute for ""traditional"" employee-provided service channels. Although it is clear that self-service can reduce cost, less is known about how customers utilize self-service channels in a multichannel service delivery system and the resulting impact on firm performance. An important aspect of service operations is that customers are coproducers of the service. Thus, the performance of the delivery system and customers' use of service channels can be affected by customers' own efficiency or productivity in service coproduction (customer efficiency). In this paper, we utilize prior theoretical frameworks in service operations and economics to hypothesize relationships among customer characteristics (especially coproduction efficiency), channel utilization, and firm performance. We then test these hypotheses using panel data from a large retail bank. Overall, we find that higher customer efficiency in self-service channels is associated with greater profitability and has a complex relationship with customer retention and product utilization. ",3,3
